booking_id,booking_date,status,total_amount,cancellation_policy,Group_Size,Booking_status,cancellation_date,cancellation_reason,booking_timestamp,pass_id,payment_id,trip_id,traveler_id
1,2025-01-15,Confirmed,5000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-01-15 09:23,1,1,3,12
2,2025-01-18,Confirmed,1800,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,1,1,,,2025-01-18 14:37,2,2,2,5
3,2025-01-20,Cancelled,6400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,0,2025-02-10,Change of plans,2025-01-20 11:15,3,3,4,18
4,2025-01-22,Confirmed,9000,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-01-22 16:45,4,4,5,23
5,2025-01-25,Confirmed,8400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-01-25 10:12,5,5,6,7
6,2025-01-27,Confirmed,4200,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-01-27 15:28,6,6,7,31
7,2025-01-30,Cancelled,5800,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,0,2025-02-15,Medical emergency,2025-01-30 09:37,7,7,8,9
8,2025-02-02,Confirmed,7200,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-02-02 14:23,8,8,9,14
9,2025-02-05,Confirmed,12000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,5,1,,,2025-02-05 11:15,9,9,10,29
10,2025-02-08,Confirmed,5700,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-02-08 16:39,10,10,11,36
11,2025-02-10,Cancelled,2300,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,1,0,2025-03-01,Work commitment,2025-02-10 10:27,11,11,12,17
12,2025-02-12,Confirmed,5850,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-02-12 15:42,12,12,13,8
13,2025-02-15,Confirmed,6600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-02-15 09:15,13,13,14,22
14,2025-02-18,Confirmed,6000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-02-18 14:32,14,14,15,25
15,2025-02-20,Confirmed,7600,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-02-20 11:28,15,15,16,41
16,2025-02-22,Cancelled,8400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,0,2025-03-10,Family emergency,2025-02-22 16:19,16,16,17,13
17,2025-02-25,Confirmed,9600,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,3,1,,,2025-02-25 10:45,17,17,18,30
18,2025-02-28,Confirmed,8400,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-02-28 15:23,18,18,19,6
19,2025-03-02,Confirmed,11000,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-03-02 09:37,19,19,20,38
20,2025-03-05,Confirmed,6300,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-03-05 14:28,20,20,21,45
21,2025-03-08,Cancelled,6800,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,0,2025-03-25,Travel advisory,2025-03-08 11:16,21,21,22,19
22,2025-03-10,Confirmed,5700,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-03-10 16:28,22,22,23,27
23,2025-03-12,Confirmed,8400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-03-12 10:42,23,23,24,11
24,2025-03-15,Confirmed,7800,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-03-15 15:39,24,24,25,33
25,2025-03-18,Confirmed,9600,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-03-18 09:23,25,25,26,16
26,2025-03-20,Confirmed,5550,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-03-20 14:37,26,26,27,42
27,2025-03-22,Cancelled,7200,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,0,2025-04-05,Change of plans,2025-03-22 11:28,27,27,28,24
28,2025-03-25,Confirmed,5400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-03-25 16:14,28,28,29,39
29,2025-03-28,Confirmed,5400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-03-28 10:28,29,29,30,15
30,2025-03-30,Confirmed,6900,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-03-30 15:42,30,30,31,28
31,2025-04-01,Confirmed,5850,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-01 09:15,31,31,32,10
32,2025-04-03,Cancelled,4800,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,0,2025-04-15,Visa issues,2025-04-03 14:29,32,32,33,44
33,2025-04-05,Confirmed,5600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-04-05 11:37,33,33,34,20
34,2025-04-08,Confirmed,7800,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-08 16:23,34,34,35,32
35,2025-04-10,Confirmed,9600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-10 10:15,35,35,36,4
36,2025-04-12,Confirmed,4200,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-04-12 15:39,36,36,37,26
37,2025-04-15,Cancelled,6800,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,0,2025-04-20,Scheduling conflict,2025-04-15 09:27,37,37,38,35
38,2025-04-17,Confirmed,5850,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-17 14:42,38,38,39,21
39,2025-04-19,Confirmed,8100,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-19 11:15,39,39,40,47
40,2025-04-21,Confirmed,4600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-04-21 16:32,40,40,41,3
41,2025-04-23,Confirmed,6600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-23 10:28,41,41,42,40
42,2025-04-25,Confirmed,7000,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-04-25 15:19,42,42,43,1
43,2025-04-27,Confirmed,8400,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-27 09:45,43,43,44,37
44,2025-04-29,Confirmed,6600,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-04-29 14:23,44,44,45,2
45,2025-05-01,Cancelled,5000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,0,2025-05-10,Health concerns,2025-05-01 11:37,45,45,46,48
46,2025-05-03,Confirmed,6300,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-05-03 16:28,46,46,47,34
47,2025-05-05,Confirmed,7600,Full refund if cancelled 45 days before; 25% refund if cancelled 20-44 days before; no refund within 19 days of departure,2,1,,,2025-05-05 10:16,47,47,48,43
48,2025-05-07,Confirmed,3900,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-05-07 15:28,48,48,49,46
49,2025-05-09,Confirmed,6900,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,3,1,,,2025-05-09 09:42,49,49,50,49
50,2025-05-11,Confirmed,5000,Full refund if cancelled 30 days before; 50% refund if cancelled 15-29 days before; no refund within 14 days of departure,2,1,,,2025-05-11 14:39,50,50,1,50
